name,type,no_brand,generic,synonyms,manufacturers,linked
"ОАО "" МК Пензенский""",manufacturer,False,,мк пензенский,"ОАО "" МК Пензенский""",чембар
"ОАО ""Алтайский букет""",manufacturer,False,,алтайский букет,"ОАО ""Алтайский букет""",алтайский букет
"ОАО ""Байсад - Кашира"", Россия",manufacturer,False,,байсад   кашира|байсад - кашира,"ОАО ""Байсад - Кашира"", Россия",байсад
"ОАО ""Белебеевский ордена ""Знак Почета"" молочный комбинат""",manufacturer,False,,"белебеевский ордена ""знак почета"" молочный комбинат|белебеевский ордена знак почета молочный комбинат","ОАО ""Белебеевский ордена ""Знак Почета"" молочный комбинат""",белебеевский
"ОАО ""Березовский мясоконсервный комбинат""",manufacturer,False,,береза|березовский мясоконсервный комбинат,"ОАО ""Березовский мясоконсервный комбинат""",
"ОАО ""Березовский сыродельный комбинат""",manufacturer,False,,березовский сыродельный комбинат,"ОАО ""Березовский сыродельный комбинат""",комо
"ОАО ""Брянский гормолзавод""",manufacturer,False,,брянский гормолзавод,"ОАО ""Брянский гормолзавод""",фрутоняня
"ОАО ""Быховский консервно-овощесушильный завод""",manufacturer,False,,быховский консервно овощесушильный завод|быховский консервно-овощесушильный завод,"ОАО ""Быховский консервно-овощесушильный завод""",смаката
"ОАО ""ВБД Напитки""",manufacturer,False,,вбд напитки,"ОАО ""ВБД Напитки""|ООО ""ВБД Напитки"", Россия",gold классик|j-7|любимый|фруктовый  сад|чудо-ягода|я
"ОАО ""Валуйкисахар""",manufacturer,False,,валуйкисахар,"ОАО ""Валуйкисахар "", Россия|ОАО ""Валуйкисахар""|ООО ""Валуйкисахар""",брауни|русский|чайкофский
"ОАО ""Великоновгородский мясной двор""",manufacturer,False,,великоновгородский мясной двор,"ОАО ""Великоновгородский мясной двор""",
"ОАО ""Вимм-Билль-Данн""",manufacturer,False,,вимм билль данн|вимм-билль-данн|я,"ОАО ""Вимм-Билль-Данн""|ОАО""Вимм-Билль-Данн""",33 коровы|bio max|агуша|веселый молочник|домик в деревне|здрайверы|имунеле|лианозовское м|любимый|мажитель|фругурт|фруктовый  сад|чудо|чудо-ягода|я
"ОАО ""Волжский пекарь""",manufacturer,False,,волжский пекарь,"ОАО ""Волжский пекарь""|ООО ""Волжский пекарь""",волжские|волжский пекарь
"ОАО ""Дека""",manufacturer,False,,дека,"ОАО ""Дека""",никола|о'кей
"ОАО ""Дмитровский Молочный Завод""",manufacturer,False,,дмитровская|дмитровский|дмитровский мз|дмитровский молочный завод,"ЗАО ""Дмитровский молочный завод""|ОАО ""Дмитровский Молочный Завод""",дмитровский молочный завод
"ОАО ""Ефремовский маслосыродельный комбинат""",manufacturer,False,,ефремовский маслосыродельный комбинат,"ОАО ""Ефремовский маслосыродельный комбинат""",galbani|president
"ОАО ""Знаменский сахарный завод""",manufacturer,False,,знаменский сахарный завод,"ОАО ""Знаменский сахарный завод""",русский
"ОАО ""КБК ""Черемушки""",manufacturer,False,,"кбк ""черемушки|кбк черемушки","ОАО ""КБК ""Черемушки""",черемушки
"ОАО ""Казанский жировой комбинат""",manufacturer,False,,казанский жировой комбинат,"ОАО ""Казанский жировой комбинат""",mr.ricco|ласка
"ОАО ""Калининградский тарный комбинат""",manufacturer,False,,калининградский тарный комбинат,"ОАО ""Калининградский тарный комбинат""",барко|донской орешек|калининградский тк
"ОАО ""Каравай""",manufacturer,False,,каравай,"ОАО ""Каравай""|ОАО""Каравай""",каравай
"ОАО ""Коломнамолпром""",manufacturer,False,,коломнамолпром,"ОАО ""Коломнамолпром""",тевье молочник
"ОАО ""Комбинат ""Волховхлеб""",manufacturer,False,,"комбинат ""волховхлеб|комбинат волховхлеб","ОАО ""Комбинат ""Волховхлеб""",о'кей
"ОАО ""Компания Росинка""",manufacturer,False,,росинка,"ОАО ""Компания Росинка""",redgrass|лаймон фреш гринайс
"ОАО ""Компания ЮНИМИЛК""",manufacturer,False,,компания юнимилк|юнимилк,"ОАО ""КОМПАНИЯ ЮНИМИЛК""|ОАО ""Компания ЮНИМИЛК""|ОАО ""Компания Юнимилк""|ООО ""ЮниМилк""",bio баланс|актуаль|петмол|простоквашино|смешарики|тема
"ОАО ""Кондитерский концерн Бабаевский""",manufacturer,False,,кондитерский концерн бабаевский,"ОАО ""Кондитерский концерн Бабаевский""",бабаевский|вдохновение
"ОАО ""Консервный завод ""Саранский""",manufacturer,False,,"консервный завод ""саранский|консервный завод саранский","ОАО ""Консервный завод ""Саранский""",барко
"ОАО ""Красный Октябрь""",manufacturer,False,,красный октябрь,"ЗАО ""Красный Октябрь""|ОАО ""Красный Октябрь""",вдохновение|красный октябрь|аленка
"ОАО ""МАКФА""",manufacturer,False,,макфа,"ОАО ""МАКФА""|ОАО ""МАКФА"", Россия|ОАО ""Макфа""",grand di pasta|макфа
"ОАО ""МИЛКОМ""",manufacturer,False,,милком,"ОАО ""МИЛКОМ""",фрутоняня
"ОАО ""МОЛОКО""",manufacturer,False,,,"ОАО ""МОЛОКО""",пан ступка
"ОАО ""Макаронно-кондитерское производство""",manufacturer,False,,макаронно кондитерское производство|макаронно-кондитерское производство,"ОАО ""Макаронно-кондитерское производство""",о'кей
"ОАО ""Маслодельно-сыродельный комбинат ""Михайловский"", Россия",manufacturer,False,,"маслодельно сыродельный комбинат михайловский|маслодельно-сыродельный комбинат ""михайловский|маслодельно-сыродельный комбинат михайловский","ОАО ""Маслодельно-сыродельный комбинат ""Михайловский"", Россия",granabella
"ОАО ""Маслосырзавод ""Порховский""",manufacturer,False,,"маслосырзавод ""порховский|маслосырзавод порховский|мз порховский","ОАО ""Маслосырзавод ""Порховский""",тм аланталь
"ОАО ""Мелькомбинат в сокольниках"", Россия",manufacturer,False,,мелькомбинат в сокольниках,"ОАО ""Мелькомбинат в сокольниках"", Россия",сокольническая
"ОАО ""Милкавита""",manufacturer,False,,милкавита,"ОАО ""Милкавита""",свитлогорье
"ОАО ""Молвест""",manufacturer,False,,молвест,"ОАО ""Молвест""",большая кружка|вкуснотеево
"ОАО ""Молочный комбинат ""Пензенский""",manufacturer,False,,"молочный комбинат ""пензенский|молочный комбинат пензенский","ОАО ""Молочный комбинат ""Пензенский""",чембар
"ОАО ""МосМедыньфгропром""",manufacturer,False,,мосмедыньфгропром,"ОАО ""МосМедыньфгропром""",большая перемена
"ОАО ""Московский молочный завод №1""",manufacturer,False,,московский молочный завод №1,"ОАО ""Московский молочный завод №1""",новая деревня
"ОАО ""Мясокомбинат Клинский""",manufacturer,False,,клинские|мясокомбинат клинский,"ОАО ""Мясокомбинат Клинский""",choridos|велком|клинский|клинский мк
"ОАО ""НЭФИС-БИОПРОДУКТ""",manufacturer,False,,нэфис биопродукт|нэфис-биопродукт,"ОАО ""НЭФИС-БИОПРОДУКТ""",mr.ricco
"ОАО ""Нарзан""",manufacturer,False,,нарзан,"ОАО ""Нарзан""",нарзан|нарзан ледяная жемчужина|шорли
"ОАО ""Нижегородский масло-жировой комбинат""",manufacturer,False,,нижегородский масло жировой комбинат|нижегородский масло-жировой комбинат,"ОАО ""Нижегородский масло-жировой комбинат""",кремлевское|нмжк|пышный рецепт|ряба|столовый|хозяюшка
"ОАО ""Ногинский хлебокомбинат""",manufacturer,False,,ногинский хлебокомбинат,"ОАО ""Ногинский хлебокомбинат""",ногинский хлебокомбинат
"ОАО ""ОМПК""",manufacturer,False,,омпк,"ОАО ""ОМПК""|ООО ""ОМПК""",останкино
"ОАО ""ОМПКт""",manufacturer,False,,омпкт,"ОАО ""ОМПКт""",останкино
"ОАО ""Оркла Брэндс Россия""",manufacturer,False,,оркла брэндс россия,"ОАО ""Оркла Брэндс Россия""|ООО ""Оркла Брэндс Россия""",академия шоколада|мишка на севере|особый|сказки перро|сладко|фабрика крупской
"ОАО ""Оршанский мясоконсервный комбинат"", Белоруссия",marketing,False,,оршанский мясоконсервный комбинат,"ОАО ""Оршанский мясоконсервный комбинат"", Белоруссия",
"ОАО ""Останкинский молочный комбинат""",manufacturer,False,,останкино|останкинская|останкинские|останкинский|останкинский молочный комбинат|останкинское|по-останкински,"ОАО ""Останкинский молочный комбинат""|ОАО""Останкинский молочный комбинат""",36 копеек|nesquick|останкинский молочный комбинат|останкинское
"ОАО ""ПЕТРОФАСК""",manufacturer,False,,петрофаск,"ОАО ""ПЕТРОФАСК""",
"ОАО ""ПРОГРЕСС""",manufacturer,False,,прогресс,"ОАО ""ПРОГРЕСС""",липецкий бювет|фрутоняня
"ОАО ""Петрохолод""",manufacturer,False,,идеальная пара|как раньше|петрохолод,"ОАО ""Петрохолод""|ООО ""ПЕТРОХОЛОД""",как раньше|о'кей|петрохолод
"ОАО ""Пищевой комбинат ""Вологодский""",manufacturer,False,,"пищевой комбинат ""вологодский|пищевой комбинат вологодский","ОАО ""Пищевой комбинат ""Вологодский""",на здоровье!
"ОАО ""Птицефабрика Калужская"", Россия",manufacturer,False,,птицефабрика калужская|рококо,"ОАО ""Птицефабрика Калужская""|ОАО ""Птицефабрика Калужская"", Россия|ООО ""Птицефабрика Калужская"", Россия",птицефабрика калужская|троекурово
"ОАО ""Рогачевский МКК""",manufacturer,False,,рогачевский мкк,"ОАО ""Рогачевский МКК""",рогачевъ
"ОАО ""Рот Фронт""",manufacturer,False,,коровка|рот фронт|рот-фронт,"ОАО ""Рот Фронт""",бабаевский|коровка|красный октябрь|крекер|рот фронт|сладкие истории
"ОАО ""Рузское молоко""",manufacturer,False,,рузская|рузские|рузский|рузское|рузское молоко,"ОАО ""РУЗСКОЕ МОЛОКО""|ОАО ""Рузское молоко""|ОАО Рузское молоко|ОАО""Рузское молоко""",рузское молоко
"ОАО ""Русский кондитер""",manufacturer,False,,русский кондитер,"ОАО ""Русский кондитер""",о'кей
"ОАО ""Русский продукт""",manufacturer,False,,русский продукт,"ОАО ""РУССКИЙ ПРОДУКТ""|ОАО ""Русский Продукт""|ОАО ""Русский продукт""|ОАО ""Русский продукт"", Россия",101 бакалея|coffitel|mr.сливкин|бакалея 101|здоровый образ жизни|печем дома|русский продукт|суперсуп
"ОАО ""Русский рыбный мир""",manufacturer,False,,русский рыбный мир,"ОАО ""Русский рыбный мир""|ООО ""Русский рыбный мир""",донской орешек|ррм|русский рыбный мир
"ОАО ""Рыбообрабатывающий комбинат №1""",manufacturer,False,,аморе|рок-1|рок1|рыбообрабатывающий комбинат №1,"ОАО ""Рыбообрабатывающий комбинат №1""|ОАО ""Рыбообрабатывающий комбинат №1"", Россия",а'море|рок-1|рыбообрабатывающий комбинат №1
"ОАО ""Савушкин продукт""",manufacturer,False,,савушкин продукт,"ОАО ""Савушкин продукт""",брест- литовск|о'кей|савушкин
"ОАО ""Сады Придонья"", Россия",manufacturer,False,,сады придонья,"ОАО ""Сады Придонья""|ОАО ""Сады Придонья"", Россия",золотая русь|мой|сады придонья
"ОАО ""Северное молоко""",manufacturer,False,,северное молоко,"ОАО ""Северное Молоко""|ОАО ""Северное молоко""",из вологды|сиртаки
"ОАО ""Сергиево-Посадский хлебокомбинат""",manufacturer,False,,сергиево посадский хлебокомбинат|сергиево-посадский хлебокомбинат,"ОАО ""Сергиево-Посадский хлебокомбинат""",настюша
"ОАО ""Слонимский мясокомбинат""",manufacturer,False,,слонимский мясокомбинат,"ОАО ""Слонимский мясокомбинат""",барко
"ОАО ""Сыродельный Комбинат Ичалковский""",manufacturer,False,,сыродельный комбинат ичалковский,"ОАО ""Сыродельный Комбинат Ичалковский""",ичалки|омский завод плавленых сыров
"ОАО ""Тульская кондитерская фабрика ""Ясная Поляна""",manufacturer,False,,"тульская кондитерская фабрика ""ясная поляна|тульская кондитерская фабрика ясная поляна","ОАО ""Тульская кондитерская фабрика ""Ясная Поляна""",рот фронт
"ОАО ""Туровский молочный комбинат""",manufacturer,False,,туровский молочный комбинат,"ОАО ""Туровский молочный комбинат""|ОАО""Туровский молочный комбинат""",bonfesto
"ОАО ""Тыретский солерудник"", Россия",manufacturer,False,,тыретский солерудник,"ОАО ""Тыретский солерудник"", Россия",соль fp
"ОАО ""УОМЗ ВГМХ им. Н. В. Верещагина""",manufacturer,False,,уомз вгмх им. н. в. верещагина,"ОАО ""УОМЗ ВГМХ им. Н. В. Верещагина""",из вологды
"ОАО ""Угличская птицефабрика"", Россия",manufacturer,False,,угличская птицефабрика,"ОАО ""Угличская птицефабрика"", Россия",
"ОАО ""Ударница""",manufacturer,False,,ударница,"ОАО ""Ударница""",мармеландия|ударница
"ОАО ""Учебно-опытный молочный завод ""ВГМХА имени Н.В.Верещагина""",manufacturer,False,,"учебно опытный молочный завод вгмха имени н.в.верещагина|учебно-опытный молочный завод ""вгмха имени н.в.верещагина|учебно-опытный молочный завод вгмха имени н.в.верещагина","ОАО ""Учебно-опытный молочный завод ""ВГМХА имени Н.В.Верещагина""",из вологды
"ОАО ""Фацер""",manufacturer,False,,фацер,"ОАО ""Фацер""",fazer|звездный|хлебный дом
"ОАО ""Фирменный Торговый Дом Царицыно""",manufacturer,False,,фирменный торговый дом царицыно,"ОАО ""Фирменный Торговый Дом Царицыно""",царицыно
"ОАО ""Хлебпром""",manufacturer,False,,хлебпром,"ОАО ""Хлебпром""|ОАО""Хлебпром""",dr.korner|mirel
"ОАО ""Царицыно""",manufacturer,False,,царицыно,"ОАО ""Царицыно""",доктор|царицыно
"ОАО ""ЭФКО""",manufacturer,False,,эфко,"ОАО ""ЭФКО""|ЭФКО","altero|альтеро|оао ""эфко""|слобода|эфко"
"ОАО ""Электростальхлеб""",manufacturer,False,,электростальхлеб,"ОАО ""Электростальхлеб""",
"ОАО А/К ""Южный""",manufacturer,False,,"а/к ""южный|а/к южный","ОАО А/К ""Южный""",
"ОАО Кондитерское объединение ""Россия""",manufacturer,False,,"кондитерское объединение ""россия|кондитерское объединение россия","ОАО Кондитерское объединение ""Россия""",родные просторы
"ОАО Молочный завод ""Гиагинский""",manufacturer,False,,"молочный завод ""гиагинский|молочный завод гиагинский","ОАО Молочный завод ""Гиагинский""",гиагинский молзавод
"ОАО Молочный комбинат ""Воронежский""",manufacturer,False,,"молочный комбинат ""воронежский|молочный комбинат воронежский","ОАО Молочный комбинат ""Воронежский""",arla|вкуснотеево
"ОАО ПКП ""Меридиан"", Россия",manufacturer,False,,"пкп ""меридиан|пкп меридиан","ОАО ПКП ""Меридиан""|ОАО ПКП ""Меридиан"", Россия",меридиан|о'кей
"ОАО РАПП ""КАВКАЗ-МЯСО""",manufacturer,False,,"рапп ""кавказ-мясо|рапп кавказ мясо|рапп кавказ-мясо","ОАО РАПП ""КАВКАЗ-МЯСО""|ОАО РАПП ""Кавказ-Мясо""",главпродукт|семейный бюджет
"ОАО ЧМПЗ, Россия",manufacturer,False,,чмпз,"ОАО ""ЧМПЗ""|ОАО ЧМПЗ, Россия",о'кей|черкизово
"ОАО""МосМедыньагропром""",manufacturer,False,,мосмедыньагропром,"ОАО""МосМедыньагропром""",большая перемена
ОКЕАН ТРК,marketing,False,,океан,"ООО ""Океан Трейдинг Компани-П""|ООО ""Океан Трейдинг Компании-П""","ооо ""океан трейдинг компани-п""|ооо ""океан трейдинг компании-п"""
ОМК,marketing,False,,,"ОАО ""Оршанский мясоконсервный комбинат"", Белоруссия",
"ОО ""РостАгроКомплекс",manufacturer,False,,,"ОО ""РостАгроКомплекс",ностальгия
"ООО "" Бондюэль-Кубань""",manufacturer,False,,бондюэль кубань|бондюэль-кубань,"ООО "" Бондюэль-Кубань""",bonduelle
"ООО "" Маслосырбаза ""Энгельсская""",manufacturer,False,,"маслосырбаза ""энгельсская|маслосырбаза энгельсская","ООО "" Маслосырбаза ""Энгельсская""",bon cream
"ООО "" Си - Продукт"", Россия",manufacturer,False,,си   продукт|си - продукт,"ООО "" Си - Продукт"", Россия",лесные угодья
"ООО ""Nika-S""",manufacturer,False,,nika s|nika-s,"ООО ""Nika-S""",nar
"ООО ""SnehkMaster""",manufacturer,False,,snehkmaster,"ООО ""SnehkMaster""",сухогруз
"ООО ""АЙДИГО""",manufacturer,False,,айдиго,"ООО ""АЙДИГО""|ООО ""Айдиго""|ООО ""Айдиго"", Россия",о'кей
"ООО ""АЙС-ФИЛИ""",manufacturer,False,,айс фили|айс-фили,"ООО ""АЙС-ФИЛИ""",айс-фили|вкусландия
"ООО ""АЛМАФУД"", Россия",manufacturer,False,,алмафуд,"ООО ""АЛМАФУД"", Россия",maccoffee
"ООО ""АПК Занино"", Россия",manufacturer,False,,апк занино,"ООО ""АПК Занино"", Россия",
"ООО ""АСТО""",manufacturer,False,,асто,"ООО ""АСТО""|ООО ""АСТО"", Россия",асто
"ООО ""Авалонторг""",manufacturer,False,,авалонторг,"ООО ""Авалонторг""",denker
"ООО ""Агама Роял Гринланд"", Россия",manufacturer,False,,agama|агама|агама роял гринланд|бухта изобилия,"ООО ""Агама Роял Гринланд""|ООО ""Агама Роял Гринланд"", Россия",агама роял гринланд
"ООО ""Агро-Альянс""",manufacturer,False,,агро альянс|агро-альянс,"ООО ""Агро-Альянс""|ООО ""Агро-Альянс"", Россия|ООО""Агро-Альянс""",агроальянс|о'кей
"ООО ""Агро-инвест""",manufacturer,False,,агро инвест|агро-инвест,"ООО ""Агро-инвест""|ООО""Агро-Инвест""",гарнирио|огородников
"ООО ""АгроПетро""",manufacturer,False,,агропетро,"ООО ""АгроПетро""",от атамана
"ООО ""Агросельпром""",manufacturer,False,,агросельпром,"ООО ""Агросельпром""",golden kings of ukraine
"ООО ""Агротрейд"", Россия",manufacturer,False,,агротрейд,"ООО ""Агротрейд"", Россия",
"ООО ""Азов Трейд"", Россия",manufacturer,False,,азов трейд,"ООО ""Азов Трейд"", Россия",
"ООО ""Айс-Продукт""",manufacturer,False,,айс продукт|айс-продукт|от ильиной,"ООО ""Айс-Продукт""","айс продукт|колпинский, ильина|продукты от ильиной"
"ООО ""Аква Стар""",manufacturer,False,,аква стар,"ООО ""Аква Стар""",святой источник
"ООО ""Аквапродукт"", Россия",manufacturer,False,,аквапродукт,"ООО ""Аквапродукт"", Россия",
"ООО ""Аллгой"", Россия",manufacturer,False,,аллгой,"ООО ""Аллгой"", Россия",alpino
"ООО ""Алтайский Пчелоцентр""",manufacturer,False,,алтайский пчелоцентр,"ООО ""Алтайский Пчелоцентр""",пчела ая|ульеград
"ООО ""Алтайхолод""",manufacturer,False,,алтайхолод,"ООО ""Алтайхолод""",монарх
"ООО ""АльтерВЕСТ XXI век""",manufacturer,False,,альтервест xxi век,"ООО ""АльтерВЕСТ XXI век""",дмитровский молочный завод
"ООО ""Альфафуд""",manufacturer,False,,альфафуд,"ООО ""Альфафуд""",
"ООО ""Антери""",manufacturer,False,,антери,"ООО ""Антери""",любятово
"ООО ""Аппетит""",manufacturer,False,,аппетит,"ООО ""Аппетит""",звездочки
"ООО ""Аромавита"", Россия",manufacturer,False,,аромавита,"ООО ""Аромавита""|ООО ""Аромавита"", Россия|ООО""Аромавита""",ароматы жизни
"ООО ""АстраЭкоПром""",manufacturer,False,,астраэкопром,"ООО ""АстраЭкоПром""",пиканта
"ООО ""Астраханка""",manufacturer,False,,астраханка,"ООО ""Астраханка""",главпродукт
"ООО ""Астраханский консервный комбинат""",manufacturer,False,,астраханский консервный комбинат,"ООО ""Астраханский консервный комбинат""",маринадовъ|о'кей
"ООО ""БАЛТ-ОСТ""",manufacturer,False,,балт ост|балт-ост,"ООО ""БАЛТ-ОСТ""",дальневосточная
"ООО ""БАРКО""",manufacturer,False,,барко,"ООО ""БАРКО""",барко|рижский залив
"ООО ""БИЗ ФРУТС""",manufacturer,False,,биз фрутс,"ООО ""БИЗ ФРУТС""",ciko
"ООО ""Балтимор-Краснодар""",manufacturer,False,,балтимор краснодар|балтимор-краснодар,"ООО ""Балтимор-Краснодар""",о'кей
"ООО ""БарС""",manufacturer,False,,барс,"ООО ""БарС""",сибирский барс
"ООО ""Бастион""",manufacturer,False,,бастион,"ООО ""Бастион""",бастион
"ООО ""Белгородский консервный комбинат""",manufacturer,False,,белгородский консервный комбинат,"ООО ""Белгородский консервный комбинат""",огородников
"ООО ""Белевская пастила""",manufacturer,False,,белевская|белевская пастила,"ООО ""Белевская пастила""",белевская пастила
"ООО ""Белорусский вкус"", Россия",manufacturer,False,,белорусский вкус|мясной двор,"ООО ""Белорусский вкус""|ООО ""Белорусский вкус"", Россия",белорусский вкус|мясной двор
"ООО ""Брянская мясная компания"", Россия",manufacturer,False,,брянская мясная компания,"ООО ""Брянская мясная компания"", Россия",мираторг
"ООО ""Брянский бройлер"", Россия",manufacturer,False,,брянский бройлер,"ООО ""Брянский бройлер""|ООО ""Брянский бройлер"", Россия",мираторг
"ООО ""Бунге СНГ""",manufacturer,False,,бунге снг,"ООО ""Бунге СНГ""",ideal
"ООО ""ВБД""",manufacturer,False,,вбд,"ОАО ""ВБД""|ООО ""ВБД""",домик в деревне
"ООО ""ВЕЛЛЕ""",manufacturer,False,,велле,"ООО ""ВЕЛЛЕ""",velle
"ООО ""Вегетория""",manufacturer,False,,вегетория,"ООО ""Вегетория""",
"ООО ""Великолукская фабрика мороженого""",manufacturer,False,,великолукская фабрика мороженого,"ООО ""Великолукская фабрика мороженого""",
"ООО ""Венский цех""",manufacturer,False,,венский цех,"ООО ""Венский цех""",большевик
"ООО ""Верхний луг"", Россия",manufacturer,False,,верхний луг,"ООО ""Верхний луг"", Россия",granabella
"ООО ""Винючай-Русь""",manufacturer,False,,винючай русь|винючай-русь,"ООО ""Винючай-Русь""",vici
"ООО ""Витапром""",manufacturer,False,,витапром,"ООО ""Витапром""",эльфа
"ООО ""Вичюнай-Русь""",manufacturer,False,,vici|вичюнай русь|вичюнай-русь|любо есть,"ООО "" Вичюнай-Русь""|ООО ""Вичюнай Русь"", Россия|ООО ""Вичюнай-Русь""|ООО""Вичюнай-Русь""",vici|вичюнай русь|вичюнай-русь|о'кей
"ООО ""Вкусный продукт""",manufacturer,False,,вкусный продукт,"ООО ""Вкусный продукт""",пиканта
"ООО ""Вкусный стандарт""",manufacturer,False,,вкусный стандарт,"ООО ""Вкусный стандарт""",вкусный стандарт
"ООО ""Возрождение"", Россия",manufacturer,False,,возрождение,"ООО ""Возрождение"", Россия",мири-пак
"ООО ""Вологодское Мороженое""",manufacturer,False,,вологодское мороженое,"ООО ""Вологодское Мороженое""",айс-фили
"ООО ""Воплощение""",manufacturer,False,,воплощение,"ООО ""Воплощение""",о'кей
"ООО ""ГАЛАКТИКА""",manufacturer,False,,галактика,"ООО ""ГАЛАКТИКА""|ООО ""Галактика""",большая кружка|сударыня
"ООО ""ГК ""АРМАГАН""",manufacturer,False,,"гк ""армаган|гк армаган","ООО ""ГК ""АРМАГАН""",каравай
"ООО ""ГРАН-МЭР""",manufacturer,False,,гран мэр|гран-мэр,"ООО ""ГРАН-МЭР""",pate grand-mere
"ООО ""Гамма-А""",manufacturer,False,,гамма а|гамма-а,"ООО ""Гамма-А""",
"ООО ""Гранд НН""",manufacturer,False,,гранд нн,"ООО ""Гранд НН""",здравник
"ООО ""Грин Рей, Закорпатье""",manufacturer,False,,грин рей,"ООО ""Грин Рей, Закорпатье""",green ray
"ООО ""Гурман""",manufacturer,False,,гурман,"ООО ""Гурман""",laime
"ООО ""Гусевский консервный комбинат""",manufacturer,False,,гусевский консервный комбинат,"ООО ""Гусевский консервный комбинат""",золотой петушок
"ООО ""ДЭНМАКС""",manufacturer,False,,дэнмакс,"ООО ""ДЭНМАКС""",дэнмакс
"ООО ""Данон Индустрия""",manufacturer,False,,даниссимо|данон индустрия,"ООО ""Данон Индустрия""|ООО ""Данон Индустрия"", Россия",danone|активиа|даниссимо|растишка
"ООО ""Диет Пром""",manufacturer,False,,диет пром,"ООО ""Диет Пром""",mini calorie
"ООО ""Диета""",manufacturer,False,,диета,"ООО ""Диета""",dr.schar
"ООО ""Династия""",manufacturer,False,,династия|щедрые,"ООО ""Династия""",щедрые
"ООО ""Дмитровские колбасы""",manufacturer,False,,дмитровские колбасы,"ООО ""Дмитровские колбасы""",заповедные продукты
"ООО ""Донконсервпром""",manufacturer,False,,донконсервпром,"ООО ""Донконсервпром""",донконсервпром
"ООО ""Донстар"", Россия",manufacturer,False,,донстар,"ООО ""Донстар"", Россия",утолина
"ООО ""Доширак Рус""",manufacturer,False,,доширак рус,"ООО ""Доширак Рус""",доширак
"ООО ""ЕВРОДОН"", Россия",manufacturer,False,,гву индолина|евродон,"ООО ""ЕВРОДОН""|ООО ""ЕВРОДОН"", Россия|ООО ""Евродон"", Россия",евродон
"ООО ""ЕВРОПРОМ""",manufacturer,False,,европром,"ООО ""ЕВРОПРОМ""|ООО ""Европром""",здоровье|русское чудо|царская
"ООО ""Европак""",manufacturer,False,,европак,"ООО ""Европак""",
"ООО ""Ессентукский завод минеральных вод на кмв""",manufacturer,False,,ессентукский завод минеральных вод на кмв,"ООО ""Ессентукский завод минеральных вод на кмв""",ессентуки
"ООО ""Ессентукский комбинат прохладительных напитков Ермак""",manufacturer,False,,ессентукский комбинат прохладительных напитков ермак,"ООО ""Ессентукский комбинат прохладительных напитков Ермак""",domашний лимонад
"ООО ""ЖК ХОЛДИНГ"", Россия",manufacturer,False,,живой кофе|жк холдинг,"ООО ""ЖК ХОЛДИНГ"", Россия",safari coffee
"ООО ""Живой кофе""",manufacturer,False,,живой кофе,"ООО ""Живой кофе""",safari coffee
"ООО ""Живые Соки""",manufacturer,False,,живые соки,"ООО ""Живые Соки""",си-про
"ООО ""Золотой век""",manufacturer,False,,золотой век,"ООО ""Золотой век""",заповедные продукты
"ООО ""Ивановский комбинат детского питания""",manufacturer,False,,ивановский комбинат детского питания,"ООО ""Ивановский комбинат детского питания""",фрутоняня
"ООО ""Иновационные Продукты""",manufacturer,False,,иновационные продукты,"ООО ""Иновационные Продукты""",maitre
"ООО ""Инстанта Рус"", Россия",manufacturer,False,,инстанта рус,"ООО ""Инстанта Рус"", Россия",drive for life
"ООО ""Интелл""",manufacturer,False,,интелл,"ООО ""Интелл""",на зубок
"ООО ""КАРЕ""",manufacturer,False,,каре,"ООО ""КАРЕ""|ООО ""Каре""|ООО ""Каре"", Россия|ООО""Каре""",гранум|добрый гном|каре
"ООО ""КО энд Фе""",manufacturer,False,,ко энд фе,"ООО ""КО энд Фе""|ООО ""Ко энд Фе""",ko&fe
"ООО ""КФ Тореро""",manufacturer,False,,кф тореро,"ООО ""КФ Тореро""",о'кей
"ООО ""Калининградский Рыбоконсервный завод""",manufacturer,False,,калининградский рыбоконсервный завод,"ООО ""Калининградский Рыбоконсервный завод""",морской котик
"ООО ""Кампина""",manufacturer,False,,кампина,"ООО ""Кампина""",campina|fruttis|альпенгурт
"ООО ""Каспий""",manufacturer,False,,дальний восток|каспий,"ООО ""Каспий""|ООО ""Каспий"", Россия",дальний восток|о'кей|сайгон|тарань-ка
"ООО ""Келлогг Рус""",manufacturer,False,,келлогг рус,"ООО ""Келлогг Рус""",любятово
"ООО ""Кока-Кола Эйчбиси Евраазия""",manufacturer,False,,кока кола эйчбиси евраазия|кока-кола эйчбиси евраазия,"ООО ""Кока-Кола Эйчбиси Евраазия""",bonaqua|burn|nestea|добрый
"ООО ""Колос-Экспресс""",manufacturer,False,,колос экспресс|колос-экспресс,"ООО ""Колос-Экспресс""",angry birds
"ООО ""Комбинат детского питания""",manufacturer,False,,комбинат детского питания,"ООО ""Комбинат детского питания""",вкусный день|крепыш|от фермера
"ООО ""Компания ""Австралийский Торговый Дом"", Россия",manufacturer,False,,австралийский торговый дом|атд,"ООО ""Компания ""Австралийский Торговый Дом""|ООО ""Компания ""Австралийский Торговый Дом"", Россия",австралийский торговый дом|атд
